StartTime: 2025-07-09 15:38:06
Timestamp;W;A;D;Space;HP;HRV;State;Breathing;Death;EnemiesVisible;Checkpoint;X;Y
5,92;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
5,94;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
5,95;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
5,97;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
5,99;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
6,00;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
6,02;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
6,04;0;0;1;0;85;28;0;0;0;0;0;-14,00;-9,13
6,05;0;0;1;0;85;28;0;0;0;0;0;-14,00;-9,13
6,07;0;0;1;0;85;28;0;0;0;0;0;-13,89;-9,13
6,09;0;0;1;0;85;28;0;0;0;0;0;-13,78;-9,13
6,10;0;0;1;0;85;28;0;0;0;0;0;-13,66;-9,13
6,12;0;0;1;0;85;28;0;0;0;0;0;-13,55;-9,13
6,14;0;0;1;0;85;28;0;0;0;0;0;-13,44;-9,13
6,15;0;0;1;0;85;28;0;0;0;0;0;-13,44;-9,13
6,17;0;0;1;0;85;28;0;0;0;0;0;-13,33;-9,13
6,19;0;0;1;0;85;28;0;0;0;0;0;-13,22;-9,13
6,20;0;0;1;0;85;28;0;0;0;0;0;-13,10;-9,13
6,22;0;0;1;0;85;28;0;0;0;0;0;-12,99;-9,13
6,24;0;0;1;0;85;28;0;0;0;0;0;-12,99;-9,13
6,25;0;0;1;0;85;28;0;0;0;0;0;-12,88;-9,13
6,27;0;0;1;0;85;28;0;0;0;0;0;-12,77;-9,13
6,29;0;0;1;0;85;28;0;0;0;0;0;-12,65;-9,13
